name,order,line,lat,lon,old_name
富锦路,1.0,1,31.3941146167966,121.419919401822,
友谊西路,2.0,1,31.3829417037751,121.42331864998,
宝安公路,3.0,1,31.3714055499533,121.426259064577,
共富新村,4.0,1,31.3569381038683,121.4294324,
呼兰路,5.0,1,31.3413321470911,121.430481731845,
通河新村,6.0,1,31.3329517,121.4369064,
共康路,7.0,1,31.3217011,121.4420271,
彭浦新村,8.0,1,31.3074943999999,121.443936099999,
汶水路,9.0,1,31.2945322,121.445588099999,
上海马戏城,10.0,1,31.2817828979273,121.447301714914,
延长路,11.0,1,31.2733562525874,121.450685404885,
中山北路,12.0,1,31.2614891,121.454469999999,
上海火车站,13.0,1,31.2517050364811,121.453189144502,
汉中路,14.0,1,31.2426269682078,121.454536062552,
新闸路,15.0,1,31.2405472,121.4636467,
人民广场,16.0,1,31.2347308929904,121.470328347095,
黄陂南路,17.0,1,31.2249336999999,121.4693495,一大会址·黄陂南路
陕西南路,18.0,1,31.2188995,121.455269699999,
常熟路,19.0,1,31.2153810540428,121.444536687414,
衡山路,20.0,1,31.2064527,121.4419408,
徐家汇,21.0,1,31.1950754999999,121.433903499999,
上海体育馆,22.0,1,31.1836918295343,121.431628610422,
漕宝路,23.0,1,31.1704329,121.4291103,
上海南站,24.0,1,31.1565578644805,121.425449348238,
锦江乐园,25.0,1,31.1440689,121.4095153,
莲花路,26.0,1,31.1328602999999,121.398266299999,
外环路,27.0,1,31.1228125999999,121.3883624,
莘庄,28.0,1,31.1130124,121.3808599,
蟠祥路,1.0,2,31.1830252072881,121.280778117712,
国家会展中心,2.0,2,31.1903581640183,121.295016985726,
虹桥火车站,3.0,2,31.1959974999999,121.3137324,
虹桥2号航站楼,4.0,2,31.1964723,121.321610199999,
淞虹路,5.0,2,31.2199748999999,121.3558076,
北新泾,6.0,2,31.2183955,121.369097399999,
威宁路,7.0,2,31.2167836,121.3826767,
娄山关路,8.0,2,31.2133703999999,121.3967585,
中山公园,9.0,2,31.2200641999999,121.411560799999,
江苏路,10.0,2,31.2215397999999,121.426246899999,
静安寺,11.0,2,31.2252923,121.442138899999,
南京西路,12.0,2,31.2318254999999,121.4560232,
人民广场,13.0,2,31.2350579250705,121.468621927645,
南京东路,14.0,2,31.2391239,121.4792291,
陆家嘴,15.0,2,31.2369215999999,121.497919399999,
浦东南路,16.0,2,31.2353820537624,121.511116138142,
世纪大道,17.0,2,31.2306936,121.522900099999,
上海科技馆,18.0,2,31.2218913999999,121.5386617,
世纪公园,19.0,2,31.2114184532901,121.546616199993,
龙阳路,20.0,2,31.2041627,121.553355999999,
张江高科,21.0,2,31.2039914,121.5833523,
金科路,22.0,2,31.2064028,121.597836,
广兰路,23.0,2,31.2131129,121.616873,
唐镇,24.0,2,31.2163796,121.6518673,
创新中路,25.0,2,31.2155335999999,121.6698203,
华夏东路,26.0,2,31.1988574,121.6767066,
川沙,27.0,2,31.1887574,121.693686599999,
凌空路,28.0,2,31.194826,121.719513099999,
远东大道,29.0,2,31.2014111213952,121.750982816192,
海天三路,30.0,2,31.1705320082377,121.792620644516,
浦东1号2号航站楼,31.0,2,31.1522997,121.801267899999,
江杨北路,1.0,3,31.4096690065419,121.435208846051,
铁力路,2.0,3,31.409950540144,121.456713340456,
友谊路,3.0,3,31.4059275818996,121.471381851592,
宝杨路,4.0,3,31.3972239208971,121.475061315961,
水产路,5.0,3,31.3832818663941,121.483682690542,
淞滨路,6.0,3,31.373006092159,121.488252673036,
张华浜,7.0,3,31.3600102935435,121.494214236376,
淞发路,8.0,3,31.3471700592756,121.495957704771,
长江南路,9.0,3,31.33401330888,121.487059347168,
殷高西路,10.0,3,31.3219498228999,121.480431626959,
江湾镇,11.0,3,31.3074898999999,121.480595499999,
大柏树,12.0,3,31.2914110263528,121.478688078008,
赤峰路,13.0,3,31.2831884430293,121.477927031045,
虹口足球场,14.0,3,31.2732442904334,121.474731075341,
东宝兴路,15.0,3,31.2618272086147,121.475704979153,
宝山路,16.0,3,31.2534575878947,121.471791941028,
上海火车站,17.0,3,31.2490615581667,121.45120490699,
中潭路,18.0,3,31.2564409857008,121.436405726212,
镇坪路,19.0,3,31.2481928487159,121.425151635189,
曹杨路,20.0,3,31.2411733999999,121.413119999999,
金沙江路,21.0,3,31.2331191,121.4072205,
中山公园,22.0,3,31.2199301774733,121.411049645864,
延安西路,23.0,3,31.2114221856213,121.412443237191,
虹桥路,24.0,3,31.198577,121.4175044,
宜山路,25.0,3,31.1885237299559,121.422602837555,
漕溪路,26.0,3,31.1786041803379,121.433819395688,
龙漕路,27.0,3,31.1713411446071,121.439814952658,
石龙路,28.0,3,31.1598584000566,121.438621919099,
上海南站,29.0,3,31.1552806665772,121.426599211801,
海伦路,1.0,4,31.2609116918687,121.485098242216,
临平路,2.0,4,31.2629917137456,121.496468211127,
大连路,3.0,4,31.2601650490319,121.508389083804,
杨树浦路,4.0,4,31.2541829478175,121.512516100186,
浦东大道,5.0,4,31.2424141,121.514948799999,
世纪大道,6.0,4,31.2308055,121.5227053,
向城路,7.0,4,31.2246257466483,121.527770748647,
蓝村路,8.0,4,31.2136094499357,121.523664283701,
塘桥,9.0,4,31.2118455651871,121.514390917121,
南浦大桥,10.0,4,31.2104023517792,121.495019251012,
西藏南路,11.0,4,31.2036064655007,121.485114501631,
鲁班路,12.0,4,31.2010783478045,121.470563359624,
大木桥路,13.0,4,31.1959980922333,121.459002938811,
东安路,14.0,4,31.1930330356462,121.450085969533,
上海体育场,15.0,4,31.1874159521371,121.439161350677,
