name,line,latitude,longitude
赵巷,,31.1630876,121.1877018
嘉松中路,,31.1660537,121.2196941
徐盈路,,31.180115,121.2498298
蟠龙路,,31.1884239,121.2742138
曹路,,31.273409,121.6784911
民雷路,,31.2704573,121.663802
金吉路,,31.2666619,121.6247128
金桥,,31.2631226,121.6072181
台儿庄路,,31.2544453,121.5931398
蓝天路,,31.243219,121.5736362
芳甸路,,31.2343994,121.5544198
陕西南路,,31.2177863,121.4546929
漕宝路,,31.1704329,121.4291103
顾唐路,,31.2682621,121.6522724
虹桥火车站,,31.1961358,121.3137463
虹桥火车站,,31.1957535,121.3137444
虹桥2号航站楼,,31.196001,121.321629
莘庄,,31.1130124,121.3808599
莘庄,,31.1131515,121.3806318
东方体育中心,,31.1553732,121.4760043
东方体育中心,,31.155447,121.4760334
金海路,,31.2661403,121.6351423
四平路,,31.2768609,121.4971465
曲阜路,,31.2444162,121.4672532
南京东路,,31.2402537,121.4801505
老西门,,31.2209254,121.479018
陆家浜路,,31.213813,121.4811496
马当路,,31.2116709,121.4717526
一大会址·新天地,,31.2179361,121.469819
嘉善路,,31.2042741,121.456395
隆德路,,31.2322816,121.418897
江苏路,,31.2215398,121.4262469
交通大学,,31.2041503,121.4306485
徐家汇,,31.1963162,121.4313608
世纪大道,,31.2306936,121.5229001
世纪大道,,31.2308055,121.5227053
世纪大道,,31.2310106,121.5227522
世纪大道,,31.2306941,121.5225108
S1,,31.1353256,121.8038369
S2,,31.1375632,121.8119419
T1,,31.1511674,121.797863
T2,,31.1525151,121.8061256
上海松江,,30.9851033,121.2259019
上海,,31.2515568,121.4511645
四团,,30.8927054,121.7492062
金山园区,,30.8321923,121.3635716
漕泾,,30.8075513,121.4089197
江桥镇,,31.2712792,121.3640168
春申,,31.0813561,121.3496831
莘庄,,31.1114602,121.3804196
新龙华,,31.1624587,121.4365585
上海西,,31.2646031,121.398156
上海南,,31.1550117,121.4248842
车墩,,31.0074204,121.3161555
亭林,,30.8971291,121.3540551
金山卫,,30.7301085,121.3580596
叶榭,,30.9421696,121.3249853
淡水桥,,31.0346013,121.4296223
安亭西,,31.3131188,121.1524548
西渡,,30.9914152,121.4274618
新桥,,31.0614034,121.3191462
上海松江站,,30.9869127,121.2263732
安亭,,31.3068068,121.1747843
古浪路,,31.2844541,121.387452
锦秋路,,31.3221876,121.377316
丰翔路,,31.3103095,121.3763776
南大路,,31.3004988,121.3755576
顾村公园,,31.3451773,121.3698399
祁安路,,31.2934242,121.3802641
龙阳路,,31.2046984,121.5535315
龙阳路,,31.2052208,121.5534538
南翔北,,31.2834953,121.3048205
娄山关路,,31.2133704,121.3967585
昌邑路,,31.2460058,121.5357325
昌邑路,,31.2460556,121.5358083
北中路,,31.1852344,121.5571091
芳芯路,,31.193162,121.5550397
迎春路,,31.2232213,121.5467582
民生路,,31.2370638,121.5405786
丹阳路,,31.2569051,121.5260504
平凉路,,31.2610517,121.52253
江浦公园,,31.2672443,121.5191022
江浦路,,31.2760613,121.5145022
抚顺路,,31.2860526,121.5113331
国权路,,31.2912405,121.5068632
殷高路,,31.3235982,121.4909886
复旦大学,,31.2982596,121.4953727
乐秀路,,31.2672762,121.3092454
封浜,,31.269456,121.2925591
真光路,,31.2550635,121.3797034
嘉怡路,,31.2612945,121.3407328
铜川路,,31.2525788,121.3922945
真新新村,,31.2572465,121.3674467
临洮路,,31.2650033,121.3263327
中宁路,,31.2469107,121.4100155
真如,,31.2524377,121.4019002
曹杨路,,31.2411734,121.41312
曹杨路,,31.2416559,121.4170297
武宁路,,31.2347687,121.4264922
